japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
匤				はこ,ただす	キャク,コク,キョク,キョウ,コウ	
匥				はこ	ヘン,ベン	
匨				くら	ゾウ,ソウ	
匩				ただす,すくう	キョウ	
匫				うつわ	コツ,コチ	
匬				ます,もたい	ユ,トウ,ズ	
匰				ずし,はこ	タン	utensils used anciently in ancestral temples
匲				はこ,くしげ	レン	cosmetics box
匸				かくす,おおう,かくしがまえ	ケイ,ゲイ	box; Kangxi radical 23
匼				こびへつらう,めぐるさま	アン,オン,コウ	place in Ruìchéng county, Shānxī; ancient term for a scholar's cap
匽				かくす,ふす,なびく,はこ,どぶ	エン	to hide, to secrete, to repress; to bend
卂				とぶ	シン	to fly rapidly
卆				にわか,おわる,ついに	ソツ	soldier; servant; at last, finally
卌				よんじゅう	シュウ	forty, fortieth
卋				よ	セイ	(same as 世) generation; world; era
卑						despise; lowly; base; vulgar
単				ひとえ,ひとつ	タン	(same as 單) single, individual, only; lone
卙				あつまる	ショウ,シュウ	
卛				ひきいる	シュツ,ソツ	
卥					セイ	
卩				わりふ,ふしづくり	セツ,セチ	seal; Kangxi radical 26
卬				のぞむ,なす,たかぶる,あおぐ,あがる,たかい	ガウ,キャウ,ギョウ,コウ,ゴウ	lofty; high; raise; high-priced
卭					キョウ	high. to raise
卲				たかい	ショウ,ジョウ	eminent, lofty; beautiful; surname
卾				うわあご	ガク	
厃				あおぐ,たるき,のき	セン,ギ,エン	to look upward
厇				ひらく	タク,チャク	
厈				がんだれ	カン	
厔				ささえられる,とまる	シツ,シチ	stop, hinder; place near water
厖				おおきい	ボウ,モウ	bulky; thick and large; confused
厡				はら	ゲン	meadow; original; primitive; field; plain; prairie; tundra; wilderness
厫				くら	ゴウ	granary
厯				ころみ	レキ	
厳				きびしい,おごそか,いつくし,いかめしい,いましめる	ゲン,ゴン,ガン	strict, rigorous, rigid; stern
厵				みなもと	ゲン	a spring; source
厶				ござる,む	シ,ボウ,ム,モ,コウ	private, secret; Kangxi radical 28
厸				となる,となり	リン	
厺				さる	キョ,コ	to go; depart
厽				かべ	ルイ,サン	
叀				つつしむ,かける	セン	spool used to collect spun thread; generally; wholly
叏				わける	カイ,ケツ,ケチ	
叒				したがう	ジャク,ニャク	obedient; united
叓				こと	シ,ズ,ジ	affair, matter; work
㕝					シ	
叕				つずる,すみやか	テツ,テチ,ゲツ,ケツ	to connect
叚				かりる,かす	カ,ケ,ゲ	false
叝					コウ	to respectfully inform
叞					イ	
壡				あきらか	エイ	
叧				わける	カ,ケ	to cut meat off away from bones; ancient torture
叴					キュウ,グ	a three-edged spear
叺				かます	セキ	a straw bag; a tobacco pouch
㕣					エン	a marsh at the foot of the hills, (interchangeable 湢 沇) name of a river
吂				おいぼれる	ボウ,モウ	
吋				いんち	スン,トウ,ズ,インチ	English inch (寸 can be either an English or Chinese inch)
吤				こえ	カイ,ケ,カ	
吪				うごく,かえる,かわる	グウ,ゲ,カ,ガ	move
吽				ほえる	イン,ゴウ,ウン,オン,コウ	'OM'; bellow; (Cant.) dull, stupid
呄					コク	
呇					ケイ	star
呍				ほえる	ウン,ゴウ,オン,グ,イン	(Cant.) phonetic
呎				ふぃいと	セキ,フィート	foot
呏				がろん,くおと	ショウ,ガロン	gallon; quart
㕮				かむ	フ	to chew; to masticate, to dwell on, Chinese medicine term
呞				かみかえす	シ,チ	
呟				つぶやく	ゲン,ケン	to mutter, grumble, murmur
呧				しかる,そしる	テイ,タイ,ダイ	to rebuke; to scold; slander
呩				たしなむ,このむ	シ	
呫				なめる,ささやく,しゃべる	テフ,セフ,テン,ショウ,チョウ	whisper; lick, taste; petty
呬				いき,いこう	キ,チ,レイ,リョウ,レ,イ	to rest
呭				しゃべる,たのしむ	エイ,セツ,セチ	final particle expressing consent; talkative
呮				こしかける	キ	to sit; (Cant.) only, merely; a final particle of intimacy
呰				せめる,そしる,きず	シ,サ,セキ,ジ,シャク,セイ	to slander, revile
呴				いきをかけてあたためる,ふく,ほえる,あためる	ク,コウ	breathe on; yawn; roar
呿				ひらく,あくびする	カ,キョ,コ,キョウ,コウ,キャ,ヨウ	to yawn
咁				ふくむ	カン,ガン	(Cant.) like this, in this way; so, to such an extent
咃					タ	
