japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
倍	倍	倍	bèi	そむく,ます,そらんじる	バイ,ハイ	times, fold, multiple times
備	备	備	bèi	そなえる,そなわる,そなえ,つぶさに	ビ,ヒ	prepare, ready, perfect
憊	惫	憊	bèi	つかれる	ハイ,ヘイ,ベ,ベイ,ホク,ボク	tired, weary, fatigued
狽	狈	狽	bèi		ハイ,バイ	a legendary animal with short forelegs which rode a wolf
背	背	背	bèi	せ,そむく,せい,そむける	ハイ,ヘ,ネ,バイ,ダイ	back; back side; behind; betray
被	被	被	bèi	こうむる,おおう,きる,かぶせる,る,らる	ヒ,ビ	passive indicator 'by'; bedding
貝	贝	貝	bèi	かい	バイ,ハイ	sea shell; money, currency; Kangxi radical 154
輩	辈	輩	bèi	ともがら,やから	ハイ,ヘ	generation, lifetime; class
鞴	鞴	鞴	bèi	うつぼ,ふいご	フク,ヒ,ビ,ホ,ブク,ブ	saddle up horse; drive horse
北	北	北	běi	きた,にげる	ホク,ハイ,ヘ	north; northern; northward
卑	卑	卑	bēi	ひくい,いやしい,いやしめる,いやしむ	ヒ,ヒツ,ハン	humble, low, inferior; despise
悲	悲	悲	bēi	かなしい,かなしむ,かなしみ	ヒ	sorrow, grief; sorry, sad
杯	杯	杯	bēi	さかずき	ハイ,ヘ	cup, glass
碑	碑	碑	bēi	たていし,いしぶみ	ヒ,ハ	stone tablet; gravestone
鵯	鹎	鵯	bēi	ひょ,ひよどり	ヒ,ヒツ,ビチ	Pycnonotus species (various)
笨	笨	笨	bèn	あらい	ホン,ボン	foolish, stupid, dull; awkward
本	本	本	běn	もと	ホン	root, origin, source; basis
奔	奔	奔	bēn	はしる	ホン	run fast, flee; rush about; run
	甭	甭	béng			there is no need
	蹦	蹦	bèng			hop, leap, jump; bright
迸	迸	迸	bèng	はしる,ほとばしる	ホウ,ヒョウ,ヘイ	gush out; burst forth; split
崩	崩	崩	bēng	くずれる,くずす	ホウ	rupture, split apart, collapse
絣	絣	絣	bēng	かすり	ホウ,ヘイ,ヒョウ,ヘン	to baste for sewing; to connect
綳	绷	繃	bēng	たばねる	ホウ,ヒョウ	a cloth to carry an infant on the back; to tie; to bind
鼻	鼻	鼻	bí	はな	ビ,ヒ	nose; first; Kangxi radical 209
壁	壁	壁	bì	かべ	ヘキ,ヒャク	partition wall; walls of a house; 14th lunar mansion, determinative star γ Pegasi (Algenib)
幣	币	幣	bì	ぬさ,たから,ぜに	ヘイ	currency, coins, legal tender
庇	庇	庇	bì	おおう,かばう,ひさし	ヒ	cover, shield, shelter, protect
